"code_alpha2";"code_alpha3_t";"code_alpha3_b";"name_en";"name_de";"name_fr"
"ab";"abk";"abk";"Abkhazian";"Abchasisch";"Abkhaze"
"aa";"aar";"aar";"Afar";"Afar";"Afar"
"af";"afr";"afr";"Afrikaans";"Afrikaans";"Afrikaans"
"ak";"aka";"aka";"Akan";"Akan";"Akan"
"sq";"sqi";"alb";"Albanian";"Albanisch";"Albanais"
"am";"amh";"amh";"Amharic";"Amharisch";"Amharique"
"ar";"ara";"ara";"Arabic";"Arabisch";"Arabe"
"an";"arg";"arg";"Aragonese";"Aragonesisch";"Aragonais"
"hy";"hye";"arm";"Armenian";"Armenisch";"Arménien"
"as";"asm";"asm";"Assamese";"Assamesisch";"Assamais"
"av";"ava";"ava";"Avaric";"Avarisch";"Avar"
"ae";"ave";"ave";"Avestan";"Avestisch";"Avestique"
"ay";"aym";"aym";"Aymara";"Aymara";"Aymara"
"az";"aze";"aze";"Azerbaijani";"Aserbaidschanisch";"Azéri"
"bm";"bam";"bam";"Bambara";"Bambara";"Bambara"
"ba";"bak";"bak";"Bashkir";"Baschkirisch";"Bachkir"
"eu";"eus";"baq";"Basque";"Baskisch";"Basque"
"be";"bel";"bel";"Belarusian";"Belarussisch";"Biélorusse"
"bn";"ben";"ben";"Bengali";"Bengalisch";"Bengali"
"bi";"bis";"bis";"Bislama";"Bislama";"Bichelamar"
"bs";"bos";"bos";"Bosnian";"Bosnisch";"Bosnien"
"br";"bre";"bre";"Breton";"Bretonisch";"Breton"
"bg";"bul";"bul";"Bulgarian";"Bulgarisch";"Bulgare"
"my";"mya";"bur";"Burmese";"Birmanisch";"Birman"
"ca";"cat";"cat";"Catalan, Valencian";"Katalanisch, Valencianisch";"Catalan"
"ch";"cha";"cha";"Chamorro";"Chamorro";"Chamorro"
"ce";"che";"che";"Chechen";"Tschetschenisch";"Tchétchène"
"ny";"nya";"nya";"Chichewa, Chewa, Nyanja";"Chichewa";"Chichewa"
"zh";"zho";"chi";"Chinese";"Chinesisch";"Chinois"
"cu";"chu";"chu";"Church Slavonic, Old Slavonic, Old Church Slavonic";"Kirchenslawisch, Altkirchenslawisch";"Vieux-slave"
"cv";"chv";"chv";"Chuvash";"Tschuwaschisch";"Tchouvache"
"kw";"cor";"cor";"Cornish";"Kornisch";"Cornique"
"co";"cos";"cos";"Corsican";"Korsisch";"Corse"
"cr";"cre";"cre";"Cree";"Cree";"Cri"
"hr";"hrv";"hrv";"Croatian";"Kroatisch";"Croate"
"cs";"ces";"cze";"Czech";"Tschechisch";"Tchèque"
"da";"dan";"dan";"Danish";"Dänisch";"Danois"
"dv";"div";"div";"Divehi, Dhivehi, Maldivian";"Dhivehi";"Maldivien"
"nl";"nld";"dut";"Dutch, Flemish";"Niederländisch, Belgisches Niederländisch";"Néerlandais"
"dz";"dzo";"dzo";"Dzongkha";"Dzongkha";"Dzongkha"
"en";"eng";"eng";"English";"Englisch";"Anglais"
"eo";"epo";"epo";"Esperanto";"Esperanto";"Espéranto"
"et";"est";"est";"Estonian";"Estnisch";"Estonien"
"ee";"ewe";"ewe";"Ewe";"Ewe";"Ewe"
"fo";"fao";"fao";"Faroese";"Färöisch";"Féroïen"
"fj";"fij";"fij";"Fijian";"Fidschi";"Fidjien"
"fi";"fin";"fin";"Finnish";"Finnisch";"Finnois"
"fr";"fra";"fre";"French";"Französisch";"Français"
"fy";"fry";"fry";"Western Frisian";"Westfriesisch";"Frison occidental"
"ff";"ful";"ful";"Fulah";"Fulfulde";"Peul"
"gd";"gla";"gla";"Gaelic, Scottish Gaelic";"Schottisch-gälisch";"Écossais"
"gl";"glg";"glg";"Galician";"Galicisch, Galegisch";"Galicien"
"lg";"lug";"lug";"Ganda";"Luganda";"Ganda"
"ka";"kat";"geo";"Georgian";"Georgisch";"Géorgien"
"de";"deu";"ger";"German";"Deutsch";"Allemand"
"el";"ell";"gre";"Greek, Modern (1453–)";"Griechisch";"Grec moderne"
"kl";"kal";"kal";"Kalaallisut, Greenlandic";"Grönländisch, Kalaallisut";"Groenlandais"
"gn";"grn";"grn";"Guarani";"Guaraní";"Guarani"
"gu";"guj";"guj";"Gujarati";"Gujarati";"Gujarati"
"ht";"hat";"hat";"Haitian, Haitian Creole";"Haitianisch-Kreolisch";"Créole haïtien"
"ha";"hau";"hau";"Hausa";"Hausa";"Haoussa"
"he";"heb";"heb";"Hebrew";"Hebräisch";"Hébreu"
"hz";"her";"her";"Herero";"Otjiherero";"Héréro"
"hi";"hin";"hin";"Hindi";"Hindi";"Hindi"
"ho";"hmo";"hmo";"Hiri Motu";"Hiri Motu";"Hiri motu"
"hu";"hun";"hun";"Hungarian";"Ungarisch";"Hongrois"
"is";"isl";"ice";"Icelandic";"Isländisch";"Islandais"
"io";"ido";"ido";"Ido";"Ido";"Ido"
"ig";"ibo";"ibo";"Igbo";"Igbo";"Igbo"
"id";"ind";"ind";"Indonesian";"Indonesisch";"Indonésien"
"ia";"ina";"ina";"Interlingua (International Auxiliary Language Association)";"Interlingua";"Interlingua"
"ie";"ile";"ile";"Interlingue, Occidental";"Interlingue";"Occidental"
"iu";"iku";"iku";"Inuktitut";"Inuktitut";"Inuktitut"
"ik";"ipk";"ipk";"Inupiaq";"Inupiaq";"Inupiak"
"ga";"gle";"gle";"Irish";"Irisch";"Irlandais"
"it";"ita";"ita";"Italian";"Italienisch";"Italien"
"ja";"jpn";"jpn";"Japanese";"Japanisch";"Japonais"
"jv";"jav";"jav";"Javanese";"Javanisch";"Javanais"
"kn";"kan";"kan";"Kannada";"Kannada";"Kannada"
"kr";"kau";"kau";"Kanuri";"Kanuri";"Kanouri"
"ks";"kas";"kas";"Kashmiri";"Kashmiri";"Cachemiri"
